Наименование3	Описание предложения.Минимальная длина 20 символов2	2024-01-01	Cologne	beach-hotel_preview.jpg	hotel-01.jpg	true	true	2	apartment	4	7	26361	Laptop friendly workspace;Baby seat;Washer	Nick Diaz hoodieMontana1@gmail.com avatar1.jpg 123 common	6	78.121	10.112
Наименование3	Описание предложения.Минимальная длина 20 символов1	2024-01-01	Paris	beach-hotel_preview.jpg	hotel-02.jpg	false	true	3	hotel	3	2	90840	Towels;Fridge	Nate Diaz hoodieMontana2@gmail.com avatar2.jpg 123 pro	7	60.12131	3.12312
Наименование3	Описание предложения.Минимальная длина 20 символов2	2024-01-02	Brussels	beach-hotel_preview.jpg	hotel-02.jpg	false	true	2	hotel	2	8	84899	Baby seat;Washer;Towels;Fridge	Nate Diaz hoodieMontana2@gmail.com avatar2.jpg 123 pro	4	60.12131	3.12312
Наименование2	Описание предложения.Минимальная длина 20 символов2	2024-01-03	Brussels	hotel_preview.jpg	hotel-03.jpg	true	false	3	hotel	3	10	54690	Baby seat;Washer;Towels;Fridge	Nate Diaz hoodieMontana2@gmail.com avatar2.jpg 123 pro	3	48.85661	2.351499
Наименование1	Описание предложения.Минимальная длина 20 символов2	2024-01-03	Brussels	beach-hotel_preview.jpg	hotel-02.jpg	true	false	1	house	8	7	24627	Fridge	Jon Jones hoodieMontana3@gmail.com avatar3.jpg 123 common	1	60.12131	3.12312
Наименование2	Описание предложения.Минимальная длина 20 символов1	2024-01-03	Cologne	beach-hotel_preview.jpg	hotel-01.jpg	false	false	1	apartment	3	5	37505	Breakfast	Nick Diaz hoodieMontana1@gmail.com avatar1.jpg 123 common	7	78.121	10.112
Наименование3	Описание предложения.Минимальная длина 20 символов2	2024-01-02	Brussels	beach-hotel_preview.jpg	hotel-02.jpg	true	false	2	hotel	5	9	97291	Washer;Towels;Fridge	Nate Diaz hoodieMontana2@gmail.com avatar2.jpg 123 pro	2	78.121	10.112
Наименование2	Описание предложения.Минимальная длина 20 символов1	2024-01-01	Paris	beach-hotel_preview.jpg	hotel-02.jpg	true	true	2	house	5	5	23116	Towels;Fridge	Jon Jones hoodieMontana3@gmail.com avatar3.jpg 123 common	4	48.85661	2.351499
Наименование2	Описание предложения.Минимальная длина 20 символов2	2024-01-01	Cologne	hotel_preview.jpg	hotel-02.jpg	true	false	4	room	3	5	86060	Towels;Fridge	Nate Diaz hoodieMontana2@gmail.com avatar2.jpg 123 pro	6	60.12131	3.12312
Наименование2	Описание предложения.Минимальная длина 20 символов2	2024-01-03	Cologne	beach-hotel_preview.jpg	hotel-02.jpg	false	true	3	hotel	8	9	20894	Towels;Fridge	Nate Diaz hoodieMontana2@gmail.com avatar2.jpg 123 pro	4	60.12131	3.12312
